,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_West Brom,A_West Ham
0,2014-08-16,0,1.3,6.5,15.0,0.769,0.154,0.067,76.0,24.0,0,0,0,0,2,1,1,2,6,2,5,0,3,2,7.015,6.62857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014-08-16,1,3.25,3.4,2.47,0.308,0.294,0.405,36.7,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71428571428571,6.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2014-08-16,2,1.45,5.2,11.0,0.69,0.192,0.091,59.6,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70714285714286,6.88642857142857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2014-08-16,2,2.01,3.5,4.75,0.498,0.286,0.211,63.1,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79923076923077,6.76769230769231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2014-08-16,1,2.3,3.42,4.03,0.435,0.292,0.248,57.8,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54857142857143,6.87142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2014-08-16,2,4.0,3.67,2.2,0.25,0.272,0.455,46.6,53.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65928571428572,6.92357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2014-08-17,0,1.43,5.75,10.3,0.699,0.174,0.097,56.1,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28076923076923,6.76615384615385,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2014-08-18,2,10.0,5.01,1.41,0.1,0.2,0.709,38.6,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29857142857143,7.13428571428571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014-08-23,0,1.25,7.56,18.26,0.8,0.132,0.055,61.4,36.7,3,1,3,1,3,2,1,2,3,3,4,5,4,3,7.13,6.71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,2014-08-23,2,2.62,3.42,3.3,0.382,0.292,0.303,24.0,46.6,0,0,0,0,1,0,2,1,2,4,0,10,2,4,6.63,6.66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2014-08-23,1,2.8,3.48,2.82,0.357,0.287,0.355,63.3,76.0,1,3,1,3,2,2,2,1,3,6,5,5,5,3,6.61,7.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014-08-23,1,1.95,4.07,5.63,0.513,0.246,0.178,43.9,57.8,0,1,0,1,1,2,2,2,6,5,4,5,2,0,6.77,6.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2014-08-23,0,1.7,4.13,6.0,0.588,0.242,0.167,40.4,38.6,3,0,3,0,2,1,1,3,4,2,0,6,1,1,6.89,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014-08-24,1,2.55,3.3,3.31,0.392,0.303,0.302,42.7,57.3,0,0,0,0,0,0,0,1,0,2,0,4,0,6,6.67,6.85928571428572,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,2014-08-24,1,5.54,4.35,1.83,0.181,0.23,0.546,42.2,59.6,1,0,1,0,2,1,2,2,2,5,2,5,3,4,6.87,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
