,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Bournemouth,H_Chelsea,H_Crystal Palace,H_Everton,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Norwich,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Bournemouth,A_Chelsea,A_Crystal Palace,A_Everton,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Norwich,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
0,2015-08-08,2,2.1,3.88,4.7,0.476,0.258,0.213,58.4,41.6,0,0,0,0,0,1,1,0,2,3,7,2,2,2,6.42857142857143,7.17357142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-08-08,1,1.4,5.04,11.0,0.714,0.198,0.091,52.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66785714285714,6.82857142857143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2015-08-08,1,1.75,3.95,5.62,0.571,0.253,0.178,66.6,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75214285714286,7.15142857142857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2015-08-08,0,2.0,3.74,5.1,0.5,0.267,0.196,44.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25285714285714,6.51923076923077,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,2015-08-08,0,1.67,4.09,6.04,0.599,0.244,0.166,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83357142857143,6.60714285714286,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2015-08-08,2,2.62,3.39,3.14,0.382,0.295,0.318,62.9,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40714285714286,7.12285714285714,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015-09-08,2,1.33,6.75,15.0,0.752,0.148,0.067,61.8,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64615384615385,7.28642857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2015-09-08,2,3.89,3.51,2.3,0.257,0.285,0.435,47.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,7.01384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2015-10-08,2,6.46,4.08,1.7,0.155,0.245,0.588,30.9,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30642857142857,7.36071428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,2015-08-14,2,5.66,3.83,1.8,0.177,0.261,0.556,41.6,50.0,3,3,3,3,1,1,0,0,3,1,2,4,2,4,7.17,6.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,2015-08-15,2,2.1,3.6,4.33,0.476,0.278,0.231,54.4,45.6,0,1,0,1,0,2,0,2,0,5,0,3,0,2,6.28785714285714,7.30071428571429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2015-08-15,2,2.86,3.39,3.2,0.35,0.295,0.312,56.0,62.9,0,0,0,0,2,1,4,3,5,6,4,9,2,2,6.52,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,2015-08-15,1,1.8,3.76,5.55,0.556,0.266,0.18,50.0,47.0,0,0,0,0,0,0,1,1,4,1,2,4,3,2,6.61,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2015-08-15,1,2.4,3.62,3.76,0.417,0.276,0.266,33.4,30.9,1,0,1,0,2,0,2,3,5,2,3,6,3,1,7.15,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2015-08-15,2,2.38,3.54,3.5,0.42,0.282,0.286,38.2,44.0,3,3,3,3,2,4,0,2,4,8,2,8,2,4,7.29,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,2015-08-16,2,5.4,4.08,1.75,0.185,0.245,0.571,37.1,61.8,3,0,3,0,3,0,1,2,7,6,2,7,2,9,7.12,6.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2015-08-16,0,2.15,3.69,3.97,0.465,0.271,0.252,69.1,52.0,3,1,3,1,3,2,0,2,7,3,2,5,11,3,7.36,6.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2015-08-17,0,1.54,4.75,8.6,0.649,0.211,0.116,53.0,58.4,3,0,3,0,1,0,0,1,3,2,1,7,4,2,7.01,6.43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2015-08-22,0,1.9,3.79,4.93,0.526,0.264,0.203,39.83,45.6,3,3,3,3,4,1,3,1,11,4,8,3,5,3,6.92,6.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2015-08-22,1,2.7,3.6,2.85,0.37,0.278,0.351,41.4,53.2,6,1,6,1,6,2,3,3,13,11,13,2,6,7,7.1,6.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2015-08-22,1,2.4,3.42,3.82,0.417,0.292,0.262,55.27,47.0,3,1,3,1,4,2,4,3,12,8,19,4,10,4,6.75,6.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2015-08-22,1,4.0,3.55,2.14,0.25,0.282,0.467,39.3,60.7,0,1,0,1,3,2,7,2,7,10,9,0,3,5,6.49,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
