,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Middlesbrough,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Middlesbrough,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
0,2016-08-13,2,2.79,3.32,3.25,0.358,0.301,0.308,47.5,52.5,0,0,0,0,0,1,1,0,3,9,5,6,2,2,6.59,7.32071428571429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2016-08-13,2,2.25,3.3,4.5,0.444,0.303,0.222,62.3,37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67071428571428,7.03384615384615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2016-08-13,1,3.64,3.54,2.5,0.275,0.282,0.4,42.5,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86357142857143,6.77384615384616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2016-08-13,0,4.68,3.6,2.1,0.214,0.278,0.476,49.7,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15272727272727,6.39285714285714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-13,0,1.27,6.5,15.0,0.787,0.154,0.067,76.9,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72642857142857,6.455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2016-08-13,1,2.4,3.38,3.7,0.417,0.296,0.27,45.6,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73230769230769,6.74769230769231,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2016-08-13,1,1.88,3.83,5.0,0.532,0.261,0.2,64.3,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65857142857143,6.83142857142857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,2016-08-14,2,2.8,3.53,3.1,0.357,0.283,0.323,50.7,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67785714285714,7.02714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-14,2,5.4,3.65,1.88,0.185,0.274,0.532,47.4,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33785714285714,7.05428571428571,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,2016-08-15,0,1.68,4.38,7.45,0.595,0.228,0.134,61.7,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90142857142857,6.58214285714286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
