,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Brighton,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Huddersfield,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Brighton,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Huddersfield,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
0,2017-11-08,0,1.53,4.73,7.25,0.654,0.211,0.138,70.0,30.0,0,0,0,0,4,3,3,4,10,3,9,3,8,0,7.30714285714286,6.64642857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2017-12-08,2,11.75,6.15,1.35,0.085,0.163,0.741,21.8,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30857142857143,6.90285714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2017-12-08,2,1.33,6.5,15.25,0.752,0.154,0.066,61.9,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39642857142857,7.05230769230769,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017-12-08,2,1.85,3.6,5.51,0.541,0.278,0.181,56.7,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53615384615385,7.23357142857143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2017-12-08,0,1.82,3.83,5.81,0.549,0.261,0.172,61.6,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99357142857143,6.60615384615385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2017-12-08,1,1.65,4.25,6.85,0.606,0.235,0.146,59.6,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83357142857143,6.66857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2017-12-08,1,6.88,4.29,1.65,0.145,0.233,0.606,45.6,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69142857142857,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,2017-12-08,0,2.65,3.3,3.3,0.377,0.303,0.303,28.7,71.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02857142857143,6.50357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017-08-13,0,1.33,5.79,12.01,0.752,0.173,0.083,55.4,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67785714285714,6.07785714285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2017-08-19,2,2.1,3.63,4.16,0.476,0.275,0.24,71.3,45.6,0,1,0,1,0,3,1,3,2,4,2,4,5,1,6.5,6.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,2017-08-19,2,2.75,3.2,3.13,0.364,0.312,0.319,38.1,28.7,3,3,3,3,3,1,2,0,5,6,4,9,1,1,7.05,7.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2017-08-19,0,1.76,3.85,5.5,0.568,0.26,0.182,30.0,21.8,0,0,0,0,3,0,4,2,3,2,3,2,0,2,6.65,6.31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017-08-19,0,1.39,5.31,9.5,0.719,0.188,0.105,54.4,56.7,1,0,1,0,3,0,3,3,5,4,8,7,1,3,6.78,6.54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
